"id", "title", "author", "category", "grade", "publisher", "edition", "price"
"1575","MATEMATIKA 3 : udžbenik i zbirka zadataka za 3. razred trogodišnjih strukovnih škola","Sanja Varošanec","udžbenik i zbirka zadataka","3.","ELEMENT","","111"
"1582","GOSPODARSKA MATEMATIKA 3 : udžbenik i zbirka zadataka za 3. razred srednje ugostiteljske škole","Vesna Erceg","udžbenik i zbirka zadataka","3.","HOREBA","","90"
"4938","MATEMATIKA U STRUCI 1 : udžbenik sa zbirkom zadataka za 1. razred JMO-a","Ivan Mrkjonjić, Snježana Šišić","udžbenik sa zbirkom zadataka","1.","NEODIDACTA","Novo","107.1"
"4940","MATEMATIKA 1 : udžbenik sa zbirkom zadataka za 1. razred trgovačkih škola","Biljana Janković, Ivan Mrkjonjić, Snježana Šišić","udžbenik sa zbirkom zadataka","1.","NEODIDACTA","Novo","139.65"
"4939","MATEMATIKA U STRUCI 2 : udžbenik sa zbirkom zadataka za 2. razred JMO-a","Ivan Mrkjonjić, Snježana Šišić","udžbenik sa zbirkom zadataka","2.","NEODIDACTA","Novo","107.1"
"4941","MATEMATIKA 2 : udžbenik sa zbirkom zadataka za 2. razred trgovačkih škola","Biljana Janković, Ivan Mrkjonjić, Snježana Šišić","udžbenik sa zbirkom zadataka","2.","NEODIDACTA","Novo","139.65"
"4942","MATEMATIKA 3 : udžbenik sa zbirkom zadataka za 3. razred trgovačkih škola","Biljana Janković, Ivan Mrkjonjić, Snježana Šišić","udžbenik sa zbirkom zadataka","3.","NEODIDACTA","Novo","139.65"
"4670","MATEMATIKA 1 : udžbenik za prodavače","Đurđica Salamon Padjen, Boško Šego, Tihana Škrinjarić, Gordana Dubrović","udžbenik sa zbirkom zadataka","1.","ALKA","Novo","120"
"4671","MATEMATIKA 2 : udžbenik za prodavače","Đurđica Salamon Padjen, Boško Šego, Tihana Škrinjarić, Nedjeljka Čolić","udžbenik sa zbirkom zadataka","2.","ALKA","Novo","120"
"4672","MATEMATIKA 3 : udžbenik za prodavače","Đurđica Salamon Padjen, Boško Šego, Tihana Škrinjarić, Gordana Lović","udžbenik sa zbirkom zadataka","3.","ALKA","Novo","120"
"2827","RAČUNALSTVO : udžbenik i CD za 1. razred trogodišnjih strukovnih škola","Blaženka Knežević, Mirjana Pejić Bach, Ivan Strugar","udžbenik s CD-om","1.","ALKA","","100"
